2026-05-31 19:05:18.587190 | GET | / | 404
2026-05-31 19:05:28.166454 | GET | / | 404
2026-05-31 19:05:28.267920 | GET | /favicon.ico | 404
2026-05-31 19:05:34.327501 | GET | /docs | 200
2026-05-31 19:05:35.255977 | GET | /openapi.json | 200
2026-05-31 19:15:52.416479 | GET | /docs | 200
2026-05-31 19:15:52.771317 | GET | /openapi.json | 200
2026-05-31 19:16:50.105552 | POST | /users/ | 200
2026-05-31 19:18:08.347537 | POST | /auth/login | 401
2026-05-31 19:18:19.337829 | POST | /auth/login | 200
2026-05-31 19:18:36.033777 | GET | /tasks/ | 401
2026-05-31 19:19:02.844978 | POST | /tasks/ | 401
2026-05-31 19:33:00.962016 | POST | /tasks/ | 422
2026-05-31 19:33:18.315479 | POST | /tasks/ | 422
2026-05-31 19:33:30.551766 | POST | /tasks/ | 200
2026-05-31 19:34:11.194476 | POST | /tasks/1/upload | 200
2026-05-31 19:34:37.340876 | POST | /tasks/1/chat | 200
2026-05-31 19:34:54.104103 | POST | /tasks/1/chat | 200
2026-05-31 19:35:06.951026 | GET | /tasks/1/stream | 200
2026-06-01 11:20:42.971120 | GET | / | 404
2026-06-01 11:20:50.820483 | GET | /docs | 200
2026-06-01 11:20:52.404695 | GET | /openapi.json | 200
2026-06-01 11:22:46.972153 | POST | /auth/login | 401
2026-06-01 11:23:37.168251 | POST | /users/ | 422
2026-06-01 11:23:58.284759 | POST | /users/ | 422
2026-06-01 11:24:29.082997 | POST | /users/ | 200
2026-06-01 11:25:00.558981 | POST | /auth/login | 200
2026-06-01 11:25:59.489769 | POST | /tasks/ | 422
2026-06-01 11:26:20.436730 | POST | /tasks/ | 200
2026-06-01 11:28:04.783493 | GET | / | 404
2026-06-01 11:28:04.873827 | GET | /favicon.ico | 404
2026-06-01 11:28:10.353452 | GET | /.well-known/appspecific/com.chrome.devtools.json | 404
2026-06-01 11:39:16.090324 | GET | / | 404
2026-06-01 11:39:16.213537 | GET | /.well-known/appspecific/com.chrome.devtools.json | 404
2026-06-01 11:43:37.594832 | GET | / | 404
2026-06-01 11:43:41.470655 | GET | /docs | 200
2026-06-01 11:43:42.140040 | GET | /openapi.json | 200
2026-06-01 11:43:55.495127 | POST | /auth/login | 200
2026-06-01 11:47:03.816831 | POST | /users/ | 422
2026-06-01 11:49:11.863827 | GET | /users/ | 200
2026-06-01 11:49:25.431702 | GET | /docs | 200
2026-06-01 11:49:25.609425 | GET | /openapi.json | 200
2026-06-01 11:49:30.043746 | GET | /users/ | 200
2026-06-01 11:52:11.000428 | GET | /docs | 200
2026-06-01 11:52:11.098494 | GET | /openapi.json | 200
2026-06-01 11:52:15.068821 | GET | /users/ | 200
2026-06-01 11:52:26.120834 | GET | /users/1 | 200
2026-06-01 11:52:46.927930 | GET | /tasks/ | 401
2026-06-01 12:02:06.509862 | GET | /docs | 200
2026-06-01 12:02:06.599469 | GET | /openapi.json | 200
2026-06-01 12:02:16.130094 | GET | /users/ | 200
2026-06-01 12:20:26.153235 | GET | /docs | 200
2026-06-01 12:20:26.353684 | GET | /openapi.json | 200
2026-06-01 12:20:30.112496 | GET | /users/ | 200
2026-06-01 12:20:44.969086 | POST | /auth/login | 200
2026-06-01 12:21:09.971116 | GET | /tasks/ | 200
2026-06-01 12:21:31.204561 | GET | /tasks/1 | 404
2026-06-01 12:21:39.024797 | GET | /tasks/1 | 404
2026-06-01 12:27:15.241686 | GET | /docs | 200
2026-06-01 12:27:15.434759 | GET | /openapi.json | 200
2026-06-01 12:27:36.850479 | GET | / | 404
2026-06-01 12:29:40.772842 | GET | /tasks/ | 401
2026-06-01 14:35:25.753468 | GET | / | 404
2026-06-01 14:35:35.724952 | GET | /docs | 200
2026-06-01 14:35:36.237772 | GET | /openapi.json | 200
2026-06-01 14:38:51.372751 | GET | /docs | 200
2026-06-01 14:38:51.570299 | GET | /openapi.json | 200
2026-06-01 14:41:07.568621 | GET | /docs | 200
2026-06-01 14:42:16.484671 | HEAD | /docs | 200
2026-06-01 14:46:55.941707 | HEAD | /docs | 200
